percent_screened,mean_recovery,lower,upper
10,0.5447194244604316,0.381294964028777,0.7697841726618705
20,0.72387050359712235,0.5825539568345324,0.8776978417266187
30,0.8172014388489208,0.6906474820143885,0.9280575539568345
40,0.8740359712230216,0.7697841726618705,0.9568345323741008
50,0.9136115107913669,0.8273381294964028,0.9784172661870504
60,0.9415035971223021,0.8633093525179856,0.9928057553956835
70,0.9610287769784173,0.8920863309352518,1
80,0.9762086330935252,0.9136690647482014,1
90,0.9884820143884893,0.935251798561151,1
100,1,1,1
